"","month","mean","sd","n","punc","hLimit","lLimit","monthAbb"
"1","01",11.7725487635377,36.7746369282249,1179211,0.135683096578984,11.83892440087,11.7061731262053,"Jan"
"2","02",9.55026240516136,36.9092959411123,1026085,0.107445289620255,9.62167916835592,9.4788456419668,"Feb"
"3","03",10.1188126609003,39.7714686382556,1066654,0.109748803267039,10.1942898845359,10.0433354372648,"Mar"
"4","04",10.3722365354524,36.6257121461835,1057685,0.1133844197469,10.442037910255,10.3024351606498,"Apr"
"5","05",10.2012599418138,36.1006501765455,1097511,0.111347403351766,10.2688008123792,10.1337190712484,"May"
"6","06",12.9348780833989,40.4284571501501,979317,0.138426066329901,13.0149502523325,12.8548059144653,"Jun"
"7","07",13.54478352655,39.6306525652071,1063918,0.148674991869674,13.620090157143,13.4694768959569,"Jul"
"8","08",8.95935002887312,32.4518315967619,1120419,0.101571822684192,9.01944042299686,8.89925963474939,"Aug"
"9","09",9.38313328680438,33.6162807491735,1073167,0.107085849639432,9.44673547809425,9.31953109551451,"Sep"
"10","10",10.4923549411208,36.3675531840899,1110325,0.118409474703353,10.5600014042728,10.4247084779688,"Oct"
"11","11",11.744685983222,37.2420098320169,1086184,0.132982993673263,11.8147245872238,11.6746473792202,"Nov"
"12","12",14.4457158336534,39.1033294965918,1166528,0.165632543753772,14.5166772418091,14.3747544254976,"Dec"
