"","ds_depart_day_period","n","ds_day_shift"
"1","Afternoon",288383,"Afternoon"
"2","Early Morning",245219,"Morning"
"3","Early Evening",236859,"Night"
"4","Late Evening",196876,"Night"
"5","Mid Morning",157649,"Morning"
"6","Late Morning",146888,"Morning"
"7","Night",123608,"Night"
